"","X","value","nrTrObjectsPerClass","resizeSize","resizeMethod","thresholding","nrFeatures","featSelect","pca","Representation"
"230","knnc",0.21163,200,"16","bicubic","false","75","featselp",0,"Features"
"231","fisherc",0.028875,200,"16","bicubic","false","75","featselp",0,"Features"
"232","svc",0.80312,200,"16","bicubic","false","75","featselp",0.95,"Features"
"233","qdc",0.53087,200,"16","bicubic","false","75","featselp",0.95,"Features"
"234","parzen",0.5235,200,"16","bicubic","false","75","featselp",0.95,"Features"
"235","bpxnc",0.6025,200,"16","bicubic","false","75","featselp",0.95,"Features"
"236","loglc",0.56038,200,"16","bicubic","false","75","featselp",0.95,"Features"
"237","knnc",0.53663,200,"16","bicubic","false","75","featselp",0.95,"Features"
"238","fisherc",0.60513,200,"16","bicubic","false","75","featselp",0.95,"Features"
"239","svc",0.80312,200,"16","bicubic","false","75","featselp",0.9,"Features"
"240","qdc",0.53087,200,"16","bicubic","false","75","featselp",0.9,"Features"
"241","parzen",0.5235,200,"16","bicubic","false","75","featselp",0.9,"Features"
"242","bpxnc",0.67475,200,"16","bicubic","false","75","featselp",0.9,"Features"
"243","loglc",0.56038,200,"16","bicubic","false","75","featselp",0.9,"Features"
"244","knnc",0.53663,200,"16","bicubic","false","75","featselp",0.9,"Features"
"245","fisherc",0.60513,200,"16","bicubic","false","75","featselp",0.9,"Features"
"246","svc",0.80312,200,"16","bicubic","false","75","featselp",0.85,"Features"
"247","qdc",0.53087,200,"16","bicubic","false","75","featselp",0.85,"Features"
"248","parzen",0.5235,200,"16","bicubic","false","75","featselp",0.85,"Features"
"249","bpxnc",0.52,200,"16","bicubic","false","75","featselp",0.85,"Features"
"250","loglc",0.56038,200,"16","bicubic","false","75","featselp",0.85,"Features"
"251","knnc",0.53663,200,"16","bicubic","false","75","featselp",0.85,"Features"
"252","fisherc",0.60513,200,"16","bicubic","false","75","featselp",0.85,"Features"
"253","svc",0.80312,200,"16","bicubic","false","75","featselp",0.8,"Features"
"254","qdc",0.53087,200,"16","bicubic","false","75","featselp",0.8,"Features"
"255","parzen",0.5235,200,"16","bicubic","false","75","featselp",0.8,"Features"
"256","bpxnc",0.51812,200,"16","bicubic","false","75","featselp",0.8,"Features"
"257","loglc",0.56038,200,"16","bicubic","false","75","featselp",0.8,"Features"
"258","knnc",0.53663,200,"16","bicubic","false","75","featselp",0.8,"Features"
"259","fisherc",0.60513,200,"16","bicubic","false","75","featselp",0.8,"Features"
"260","svc",0.9,200,"16","bicubic","false","75","featselp",0.7,"Features"
"261","qdc",0.71088,200,"16","bicubic","false","75","featselp",0.7,"Features"
"262","parzen",0.71488,200,"16","bicubic","false","75","featselp",0.7,"Features"
"263","bpxnc",0.71825,200,"16","bicubic","false","75","featselp",0.7,"Features"
"264","loglc",0.72438,200,"16","bicubic","false","75","featselp",0.7,"Features"
"265","knnc",0.71938,200,"16","bicubic","false","75","featselp",0.7,"Features"
"266","fisherc",0.74813,200,"16","bicubic","false","75","featselp",0.7,"Features"
