"","X","value","nrTrObjectsPerClass","resizeSize","resizeMethod","thresholding","nrFeatures","featSelect","pca","Representation"
"140","treec",NA,10,"10","box","false","50","featselp",0.95,"Pixels"
"141","svc",0.33313,10,"10","box","false","50","featselp",0.8,"Pixels"
"142","qdc",0.49616,10,"10","box","false","50","featselp",0.8,"Pixels"
"143","parzen",0.26838,10,"10","box","false","50","featselp",0.8,"Pixels"
"144","bpxnc",0.37545,10,"10","box","false","50","featselp",0.8,"Pixels"
"145","loglc",0.40818,10,"10","box","false","50","featselp",0.8,"Pixels"
"146","knnc",0.28859,10,"10","box","false","50","featselp",0.8,"Pixels"
"147","treec",NA,10,"10","box","false","50","featselp",0.8,"Pixels"
"148","svc",0.3196,10,"10","box","false","0","none",0,"Pixels"
"149","qdc",0.9,10,"10","box","false","0","none",0,"Pixels"
"150","parzen",0.25434,10,"10","box","false","0","none",0,"Pixels"
"151","bpxnc",0.43939,10,"10","box","false","0","none",0,"Pixels"
"152","loglc",0.80152,10,"10","box","false","0","none",0,"Pixels"
"153","knnc",0.25667,10,"10","box","false","0","none",0,"Pixels"
"154","treec",NA,10,"10","box","false","0","none",0,"Pixels"
"155","svc",0.79879,10,"10","box","true","5","featselp",0,"Pixels"
"156","qdc",0.9,10,"10","box","true","5","featselp",0,"Pixels"
"157","parzen",0.60909,10,"10","box","true","5","featselp",0,"Pixels"
"158","bpxnc",0.60808,10,"10","box","true","5","featselp",0,"Pixels"
"159","loglc",0.61202,10,"10","box","true","5","featselp",0,"Pixels"
"160","knnc",0.69242,10,"10","box","true","5","featselp",0,"Pixels"
"161","treec",NA,10,"10","box","true","5","featselp",0,"Pixels"
"162","svc",0.69586,10,"10","box","true","5","featselp",0.95,"Pixels"
"163","qdc",0.9,10,"10","box","true","5","featselp",0.95,"Pixels"
"164","parzen",0.62,10,"10","box","true","5","featselp",0.95,"Pixels"
"165","bpxnc",0.65838,10,"10","box","true","5","featselp",0.95,"Pixels"
"166","loglc",0.61202,10,"10","box","true","5","featselp",0.95,"Pixels"
"167","knnc",0.63737,10,"10","box","true","5","featselp",0.95,"Pixels"
"168","treec",NA,10,"10","box","true","5","featselp",0.95,"Pixels"
