"","X","value","nrTrObjectsPerClass","resizeSize","resizeMethod","thresholding","nrFeatures","featSelect","pca","Representation"
"332","parzen",0.042625,200,"10","bicubic","false","50","featselp",0.95,"Features"
"333","bpxnc",0.063,200,"10","bicubic","false","50","featselp",0.95,"Features"
"334","loglc",0.05975,200,"10","bicubic","false","50","featselp",0.95,"Features"
"335","knnc",0.044375,200,"10","bicubic","false","50","featselp",0.95,"Features"
"336","treec",0.3525,200,"10","bicubic","false","50","featselp",0.95,"Features"
"337","svc",0.050375,200,"10","bicubic","false","50","featselp",0.8,"Features"
"338","qdc",0.046,200,"10","bicubic","false","50","featselp",0.8,"Features"
"339","parzen",0.04725,200,"10","bicubic","false","50","featselp",0.8,"Features"
"340","bpxnc",0.06775,200,"10","bicubic","false","50","featselp",0.8,"Features"
"341","loglc",0.062375,200,"10","bicubic","false","50","featselp",0.8,"Features"
"342","knnc",0.049875,200,"10","bicubic","false","50","featselp",0.8,"Features"
"343","treec",0.30937,200,"10","bicubic","false","50","featselp",0.8,"Features"
"344","svc",0.060125,200,"10","bicubic","false","0","none",0,"Features"
"345","qdc",0.832,200,"10","bicubic","false","0","none",0,"Features"
"346","parzen",0.9,200,"10","bicubic","false","0","none",0,"Features"
"347","bpxnc",0.133,200,"10","bicubic","false","0","none",0,"Features"
"348","loglc",0.040125,200,"10","bicubic","false","0","none",0,"Features"
"349","knnc",0.216,200,"10","bicubic","false","0","none",0,"Features"
"350","treec",0.45275,200,"10","bicubic","false","0","none",0,"Features"
"351","svc",0.69637,200,"10","bilinear","false","5","featselp",0,"Features"
"352","qdc",0.33475,200,"10","bilinear","false","5","featselp",0,"Features"
"353","parzen",0.55125,200,"10","bilinear","false","5","featselp",0,"Features"
"354","bpxnc",0.31425,200,"10","bilinear","false","5","featselp",0,"Features"
"355","loglc",0.3415,200,"10","bilinear","false","5","featselp",0,"Features"
"356","knnc",0.46163,200,"10","bilinear","false","5","featselp",0,"Features"
"357","treec",NA,200,"10","bilinear","false","5","featselp",0,"Features"
"358","svc",0.48113,200,"10","bilinear","false","5","featselp",0.95,"Features"
"359","qdc",0.33475,200,"10","bilinear","false","5","featselp",0.95,"Features"
"360","parzen",0.3175,200,"10","bilinear","false","5","featselp",0.95,"Features"
"361","bpxnc",0.44938,200,"10","bilinear","false","5","featselp",0.95,"Features"
"362","loglc",0.3415,200,"10","bilinear","false","5","featselp",0.95,"Features"
"363","knnc",0.304,200,"10","bilinear","false","5","featselp",0.95,"Features"
"364","treec",NA,200,"10","bilinear","false","5","featselp",0.95,"Features"
